location,total_cost,total_benefit,net_benefit,bcr,deaths_averted,cost_per_death,cost_per_daly
Indonesia,7583936003.18451,15311538374.2565,7727602371.07195,2.01894351004902,99674.8723983476,76086.7390216016,6938.08677080468
TOTAL,7583936003.18451,15311538374.2565,7727602371.07195,2.01894351004902,99674.8723983476,76086.7390216016,6938.08677080468
