population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,11,Indonesia,2,Female,20,75-79 years,1,Number,1998,778678.8749219119,870816.9805886898,693433.6239544603
1,All Population,44,Population,11,Indonesia,1,Male,20,75-79 years,1,Number,1999,688419.6226750241,777265.978957445,602183.5738193362
1,All Population,44,Population,11,Indonesia,2,Female,20,75-79 years,1,Number,1999,809749.9846916266,914255.0471127756,708315.2827442602
1,All Population,44,Population,11,Indonesia,1,Male,21,80+ years,1,Number,1995,505530.1315795523,561068.2340261948,453293.2159939926
1,All Population,44,Population,11,Indonesia,2,Female,21,80+ years,1,Number,1995,666481.7142840873,739702.1365981204,597613.516577264
1,All Population,44,Population,11,Indonesia,1,Male,21,80+ years,1,Number,1996,520082.580523125,575550.5461406871,464632.1316523063
1,All Population,44,Population,11,Indonesia,2,Female,21,80+ years,1,Number,1996,688419.8122737687,761841.318603093,615021.4924074335
1,All Population,44,Population,11,Indonesia,1,Male,21,80+ years,1,Number,1997,538442.2224666158,600232.9451220712,478451.03983624204
1,All Population,44,Population,11,Indonesia,2,Female,21,80+ years,1,Number,1997,713297.4489230588,795154.2628915833,633824.5626176465
1,All Population,44,Population,11,Indonesia,1,Male,21,80+ years,1,Number,1998,557264.1842454282,623203.132823512,496258.13056773256
1,All Population,44,Population,11,Indonesia,2,Female,21,80+ years,1,Number,1998,738961.905455188,826400.453387263,658064.6381545556
1,All Population,44,Population,11,Indonesia,1,Male,21,80+ years,1,Number,1999,575957.9534165637,650290.1831314889,503809.6058481807
1,All Population,44,Population,11,Indonesia,2,Female,21,80+ years,1,Number,1999,764567.3123930929,863241.1700248887,668792.494341288
1,All Population,44,Population,11,Indonesia,1,Male,28,<1 year,1,Number,1995,2310528.288888233,2564365.496204028,2071779.174552386
1,All Population,44,Population,11,Indonesia,2,Female,28,<1 year,1,Number,1995,2189527.98522495,2430071.9646179536,1963281.9488530946
1,All Population,44,Population,11,Indonesia,1,Male,28,<1 year,1,Number,1996,2323622.4958883286,2571442.0105901803,2075881.2424248105
1,All Population,44,Population,11,Indonesia,2,Female,28,<1 year,1,Number,1996,2200347.0557505637,2435018.9701844472,1965749.2505515714
1,All Population,44,Population,11,Indonesia,1,Male,28,<1 year,1,Number,1997,2333730.862531141,2601545.886060577,2073715.454112969
1,All Population,44,Population,11,Indonesia,2,Female,28,<1 year,1,Number,1997,2208336.0226838817,2461760.9455708894,1962291.6299556054
1,All Population,44,Population,11,Indonesia,1,Male,28,<1 year,1,Number,1998,2338136.340147533,2614799.108472218,2082170.7225725306
1,All Population,44,Population,11,Indonesia,2,Female,28,<1 year,1,Number,1998,2211483.6506991,2473160.088638808,1969383.2356426804
1,All Population,44,Population,11,Indonesia,1,Male,28,<1 year,1,Number,1999,2343327.5226716143,2645753.6957616373,2049786.6355819083
1,All Population,44,Population,11,Indonesia,2,Female,28,<1 year,1,Number,1999,2215921.6125529837,2501904.978799557,1938340.4423679195
