location,total_cost,total_benefit,net_benefit,bcr,deaths_averted,cost_per_death,cost_per_daly
Uganda,954762388.474181,986581436.922686,31819048.4485046,1.0333266672762,18284.1316132272,52218.087720583,4597.14732525917
TOTAL,954762388.474181,986581436.922686,31819048.4485046,1.0333266672762,18284.1316132272,52218.087720583,4597.14732525917
