location,total_cost,total_benefit,net_benefit,bcr,deaths_averted,cost_per_death,cost_per_daly
Indonesia,7343134117.4816,16665920848.4929,9322786731.01126,2.26959232690804,108491.615497463,67683.8858358902,5680.75781936767
TOTAL,7343134117.4816,16665920848.4929,9322786731.01126,2.26959232690804,108491.615497463,67683.8858358902,5680.75781936767
