location,sex,cause,L_I_base,L_P_base,L_D_base,L_I_cal,L_P_cal,L_D_cal,penalized_base,penalized_cal,step1_mortality_value,step2_incidence_value,step3_joint_value,joint_spread_min,joint_spread_med,joint_spread_max
Indonesia,Female,Rheumatic heart disease,0.00082721444304962,3.23543341715544,2.54293741496849,0.00114425840144389,3.2363053596901,2.52998019696561,8.32213546153546,8.30893376078073,5.07276747556358,3.23842556850313,8.30893376078073,8.30893376078073,8.30893376401797,8.30893377116547
Indonesia,Male,Rheumatic heart disease,0.00130249490406525,3.39400746576276,1.89092892446912,0.00126145860203627,3.39266959952087,1.88006427036037,7.17716780960506,7.16471455252249,3.77215950578244,3.39558701864849,7.16471455252249,7.16471455252249,7.16471455305834,7.16471456734879
