parameter,value
p_A_to_no_rhd,0.070665435928975
p_A_to_B,0.0110867482353101
p_B_to_A,0.0158349467988156
p_B_to_C,0.0429454871913604
p_C_to_B,0.00504549849450728
p_C_to_D,0.0843800354407846
p_D_to_C,0
A,0.00116131325799638
B,0.00511878387468427
C,0.0202775558555179
D,0.101722512104093
rhd_d_fraction,0.0256615504913436
residual_mult,1.10960559163005
