parameter,value
p_A_to_no_rhd,0.176141841038412
p_A_to_B,0.00819781910285774
p_B_to_A,0.00571480865402722
p_B_to_C,0.0129376966685024
p_C_to_B,0.004703000369643
p_C_to_D,0.0333990159303823
p_D_to_C,0
A,0.00084404733814531
B,0.00459451055324202
C,0.01929916867174
D,0.097400712136125
rhd_d_fraction,0.00521163551799711
residual_mult,0.850777314882454
