location,sex,age,year,measure,source,value
Uganda,Female,30-34 years,2004,Incidence,model,1659.29359962843
Uganda,Female,35-39 years,2004,Incidence,model,1204.04334329953
Uganda,Female,40-44 years,2004,Incidence,model,660.805107062975
Uganda,Female,45-49 years,2004,Incidence,model,177.340773866357
Uganda,Female,50-54 years,2004,Incidence,model,0
Uganda,Female,55-59 years,2004,Incidence,model,0
Uganda,Female,60-64 years,2004,Incidence,model,0
Uganda,Female,65-69 years,2004,Incidence,model,0
Uganda,Female,70-74 years,2004,Incidence,model,0
Uganda,Female,75-79 years,2004,Incidence,model,0
Uganda,Female,80-84 years,2004,Incidence,model,0
Uganda,Female,85-89 years,2004,Incidence,model,0
Uganda,Female,90-94 years,2004,Incidence,model,0
Uganda,Female,95+ years,2004,Incidence,model,0
Uganda,Female,<1 year,2005,Incidence,model,0
Uganda,Female,12-23 months,2005,Incidence,model,619.349511867121
Uganda,Female,2-4 years,2005,Incidence,model,4016.80744756936
Uganda,Female,5-9 years,2005,Incidence,model,6020.32061477055
Uganda,Female,10-14 years,2005,Incidence,model,4104.23133963815
Uganda,Female,15-19 years,2005,Incidence,model,4209.31495694971
Uganda,Female,20-24 years,2005,Incidence,model,3052.12523630714
Uganda,Female,25-29 years,2005,Incidence,model,2238.36445469676
Uganda,Female,30-34 years,2005,Incidence,model,1684.99092654308
Uganda,Female,35-39 years,2005,Incidence,model,1242.12792870266
Uganda,Female,40-44 years,2005,Incidence,model,683.110084417838
Uganda,Female,45-49 years,2005,Incidence,model,182.755516823591
Uganda,Female,50-54 years,2005,Incidence,model,0
Uganda,Female,55-59 years,2005,Incidence,model,0
Uganda,Female,60-64 years,2005,Incidence,model,0
Uganda,Female,65-69 years,2005,Incidence,model,0
Uganda,Female,70-74 years,2005,Incidence,model,0
Uganda,Female,75-79 years,2005,Incidence,model,0
Uganda,Female,80-84 years,2005,Incidence,model,0
Uganda,Female,85-89 years,2005,Incidence,model,0
Uganda,Female,90-94 years,2005,Incidence,model,0
Uganda,Female,95+ years,2005,Incidence,model,0
Uganda,Female,<1 year,2006,Incidence,model,0
Uganda,Female,12-23 months,2006,Incidence,model,634.272379596746
Uganda,Female,2-4 years,2006,Incidence,model,4138.31721085497
