location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,pct_improvement
Uganda,Female,Rheumatic heart disease,10-14 years,247.662339346671,34863.5518154756,242.653803973934,16422.68382173,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,12-23 months,21081.8772704953,400.03088207583,21081.8772704953,400.03088207583,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,15-19 years,694.795656219283,34336.4776500851,698.877197298496,15489.5147900897,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,2-4 years,3306.58986954594,1966.36299971048,3306.10172835207,456.109515189201,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,20-24 years,663.694708376321,32112.027091461,666.944712137671,13742.3906306211,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,25-29 years,593.00466760753,25598.2748140384,592.031828499762,13000.2697479188,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,30-34 years,392.471369842954,22672.3064877327,391.481604567764,15175.1313629746,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,35-39 years,538.6490408013,20285.3553482403,541.766496916648,16932.9425780578,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,40-44 years,445.639364929474,17480.9221710456,444.525442828408,16651.7659801304,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,45-49 years,554.698301230833,13976.9988697533,550.129314965649,13837.3047367097,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,5-9 years,2103.53360497027,19856.5166294665,2101.15727844772,6318.23386154015,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,50-54 years,523.227812759677,9787.91147520494,518.564380289686,9938.38675992649,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,55-59 years,395.33804451074,6107.74251357471,393.194483218403,6173.9322109419,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,60-64 years,492.078181925695,3574.19141781281,492.153402572636,3600.32359047557,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,65-69 years,527.668679554992,1804.96377349459,528.86390726506,1828.83857420869,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,70-74 years,643.249991358977,654.952283171532,638.091439892106,659.012409643893,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,75-79 years,559.286852072988,258.589644476947,561.502129880946,254.714788823825,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,80-84 years,298.651099325282,103.127685895747,301.021269595298,98.0434287626064,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,85-89 years,297.711323131026,19.2913590966277,295.296156928428,15.7623880343441,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,90-94 years,242.682068473578,10.6578359945685,242.713389830256,9.96681991089232,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,95+ years,908.849166661046,9.73712704414613,908.835312008343,9.7302223859476,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Female,Rheumatic heart disease,<1 year,1859.69574996723,0,1859.69574996723,0,618.293134693576,523.995060303175,401,44,FALSE,0,15.2513539451048
Uganda,Male,Rheumatic heart disease,10-14 years,282.101384751229,36287.9951745849,282.509494916201,13222.2949878383,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,12-23 months,25478.8270059506,473.194746115417,25478.8270059506,473.194746115417,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,15-19 years,586.342568126019,36817.9256549871,592.618369728766,13432.4020612193,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,2-4 years,3964.60928015879,1824.88219011503,3964.34476042933,923.056448749763,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,20-24 years,455.843537631517,36787.387959221,453.032099954356,19569.0248501307,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,25-29 years,722.441824141755,30695.7650826092,719.031115745982,21657.046613748,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,30-34 years,682.380791304196,26486.765262652,683.380722980916,19414.1706320244,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,35-39 years,853.936130592455,22547.7536589032,852.744492503599,17276.8102286597,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,40-44 years,520.275007690628,18175.1306293343,522.497465350438,14144.5726442805,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,45-49 years,787.762965512062,13604.0203360463,789.96192524277,11241.4520245888,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
Uganda,Male,Rheumatic heart disease,5-9 years,2348.87001283928,20004.9199617216,2346.01875261173,6386.06181719015,551.321798415996,441.968811761185,401,44,FALSE,0,19.8346930901323
