location,sex,band,year,model_prev,model_inc,model_dwell,gbd_prev,gbd_inc,gbd_dwell
Uganda,Female,0-14,2000,34796.3808284947,13234.1899670067,2.62927923169029,34362.5710623904,14359.5308471099,2.39301488525347
Uganda,Female,0-14,2001,43960.9736413557,13573.383967439,3.23876298989354,35337.686860403,14789.0274739721,2.3894530537992
Uganda,Female,0-14,2002,52537.7980658788,13851.892665869,3.79282451381764,35894.5030017356,15127.5503195524,2.37279019031534
Uganda,Female,0-14,2003,60443.9090883381,14105.1860669924,4.28522593046704,36241.7899156734,15423.4460087826,2.34978550805287
Uganda,Female,0-14,2004,67649.5428862797,14387.1466089048,4.70208198506912,36641.7364980997,15734.8418808833,2.32870064888397
Uganda,Female,0-14,2005,74151.8436570996,14760.7089138452,5.0235963658593,37384.6961066456,16124.0726758371,2.31856410338988
Uganda,Female,0-14,2006,81336.0256391816,15320.6407381133,5.30891801651878,38908.1428138261,16702.4910662866,2.32948143240506
Uganda,Female,0-14,2007,87843.8698719394,16065.749508917,5.46777290553318,41182.2003787225,17467.9281748701,2.35758928972289
Uganda,Female,0-14,2008,93721.3351807415,16885.1487205577,5.55051878617071,43776.3589970611,18307.2681337287,2.39120106163786
Uganda,Female,0-14,2009,98927.4597784959,17657.5744100504,5.60255092127423,46188.8408079627,19090.7165723084,2.41943986926928
Uganda,Female,0-14,2010,103363.216346776,18257.7149289111,5.66134462879031,47858.4968471666,19674.5671929634,2.43250570026684
Uganda,Female,0-14,2011,108621.557232507,18655.0736606819,5.82262816047958,48660.5697828096,20024.8917894339,2.43000413158214
Uganda,Female,0-14,2012,112767.705072945,18927.8993256868,5.95775067970218,48970.2896346649,20234.8223663902,2.42009980359423
Uganda,Female,0-14,2013,115576.895249899,19105.6325131094,6.04936241553877,48960.8574638762,20347.5393498608,2.40622989453568
Uganda,Female,0-14,2014,118393.613930807,19227.907707347,6.1573841383464,48813.586029701,20409.1594980953,2.39174896125715
Uganda,Female,0-14,2015,121105.188358652,19331.7142576107,6.2645860964438,48726.5246741268,20469.7325222297,2.38041824050269
Uganda,Female,0-14,2016,123439.446801353,19348.2801011544,6.37986664220291,48504.5370520273,20432.8358120708,2.37385243527347
Uganda,Female,0-14,2017,125362.054716234,19209.2821192822,6.52611867209735,47984.3476266862,20244.4667710378,2.37024507335178
Uganda,Female,0-14,2018,126799.545489396,19044.8459894983,6.65794543885078,47445.3420567377,20027.0160954931,2.3690669558814
Uganda,Female,0-14,2019,127835.648744118,19000.5559654879,6.72799516900007,47198.4144476154,19914.4960351442,2.37005316952645
Uganda,Female,15-24,2000,52611.4585220694,6222.305664648,8.45529958789731,56178.7897875487,7008.27275787543,8.0160678284701
Uganda,Female,15-24,2001,56763.8405556376,6409.21814332984,8.85659362596553,57869.6843129934,7246.53788442821,7.98583892555743
Uganda,Female,15-24,2002,61326.9619968274,6623.17705908229,9.2594477619665,59114.1616827152,7467.77354475503,7.91590175149779
Uganda,Female,15-24,2003,66316.6804180739,6820.58764211617,9.72301565463035,60131.7241467326,7678.03053452219,7.83165993888231
Uganda,Female,15-24,2004,71701.2216260107,7023.32899930093,10.2090079552229,61255.226133148,7893.51839374532,7.76019299349268
Uganda,Female,15-24,2005,77464.3464504019,7261.44019325685,10.6679039403695,62869.3628581085,8133.27445577729,7.72989565272209
Uganda,Female,15-24,2006,83903.1548255846,7560.81017587721,11.0971116684397,65619.8607118694,8422.53356553712,7.79098832925633
Uganda,Female,15-24,2007,90948.6523581539,7920.94858310587,11.4820404909752,69488.7654500012,8755.78873853602,7.93632276029764
Uganda,Female,15-24,2008,98733.3100844738,8317.34206342158,11.870776665383,73825.5873011028,9105.26691942324,8.10800912860873
Uganda,Female,15-24,2009,107317.785467379,8712.07917081968,12.3182748185795,77915.8587691587,9443.11348585154,8.25107724119792
Uganda,Female,15-24,2010,116605.426308127,9064.38073252356,12.8641359789466,80960.4264415093,9738.51871195514,8.31342310223435
Uganda,Female,15-24,2011,127071.191998239,9349.0029698345,13.5919511854095,82710.9912901766,9978.75493694491,8.2887085425809
Uganda,Female,15-24,2012,138142.04883851,9590.96010134317,14.4033597657407,83643.0361284847,10181.689225384,8.21504509487034
Uganda,Female,15-24,2013,149843.241881466,9808.48697564704,15.2768966562839,84025.56269412,10362.5183722578,8.10860446038588
Uganda,Female,15-24,2014,160680.507522182,10058.1856009362,15.975098680544,84164.8774981643,10537.3929269744,7.98725814643513
Uganda,Female,15-24,2015,170689.655735461,10331.6687140883,16.5210151872861,84398.1320976866,10724.0898496663,7.86995757036786
Uganda,Female,15-24,2016,181330.080784242,10678.0897431961,16.9815093471921,84319.2993503438,10916.9258926445,7.72372187734235
Uganda,Female,15-24,2017,191128.768018093,10993.7469049785,17.3852254076853,83672.7159646654,11111.2342436588,7.53046098478369
Uganda,Female,15-24,2018,199804.979954276,11294.1795097091,17.6909690325457,83054.5617708393,11325.3940637084,7.33348096354398
Uganda,Female,15-24,2019,207142.590670699,11631.28518893,17.809088789934,83076.4792483127,11572.4048211723,7.17884316458753
Uganda,Female,25-44,2000,85292.3943251642,5148.287181028,16.5671399683133,82935.3118817056,5291.02239639882,15.6747232705258
Uganda,Female,25-44,2001,92037.9640270605,5274.27153420024,17.450365122511,85692.3219392067,5482.08100354713,15.6313490960386
Uganda,Female,25-44,2002,99351.9610942786,5443.22351499639,18.2524125310229,88225.1378004097,5683.77110746996,15.5222890106287
Uganda,Female,25-44,2003,107303.867550549,5592.49381693382,19.187123144533,90664.6975851053,5889.63136618223,15.3939511572311
Uganda,Female,25-44,2004,115914.185816459,5725.86955171275,20.2439445693949,93206.6924951242,6095.96774025991,15.2898926743911
Uganda,Female,25-44,2005,125270.751654701,5848.59339436034,21.4189537907518,96066.637218841,6298.43589063125,15.2524593227562
Uganda,Female,25-44,2006,133680.384681074,5953.98999262315,22.4522353659816,99449.4409211476,6479.4466502177,15.348446601965
Uganda,Female,25-44,2007,142755.548583854,6046.03289538623,23.6114409322503,103267.336885458,6634.33930584507,15.5655796492766
Uganda,Female,25-44,2008,152502.31233716,6139.24655481366,24.8405583609582,107304.292921753,6779.96188272409,15.8266808542351
Uganda,Female,25-44,2009,163082.892742429,6249.64180889506,26.0947583444406,111368.349060037,6938.43360184302,16.0509353336545
Uganda,Female,25-44,2010,174625.052127184,6398.56903497883,27.2912664023109,115214.314843251,7132.84933816047,16.1526354169376
Uganda,Female,25-44,2011,184885.253235423,6591.71278374677,28.0481354848008,118686.336399314,7364.17377448688,16.1167213096602
Uganda,Female,25-44,2012,196022.459029258,6811.27152990331,28.7791285619237,121929.448934324,7616.41824091592,16.0087648915221
Uganda,Female,25-44,2013,208094.230233005,7053.95689222801,29.5003546821049,125107.782228645,7886.16819311641,15.8642041565696
Uganda,Female,25-44,2014,221172.57410875,7354.58006924598,30.0727671772327,128396.787309908,8169.71917575806,15.7161812478082
Uganda,Female,25-44,2015,235314.460983575,7684.69272742868,30.6211932383029,131994.988422233,8462.30788598935,15.5979893665617
Uganda,Female,25-44,2016,249580.854998439,8124.62660512358,30.7190554260115,135735.2626074,8763.63587456689,15.488464439893
Uganda,Female,25-44,2017,265262.558549136,8581.83225189407,30.9097813570745,139403.263419467,9075.7487200754,15.3599738951685
Uganda,Female,25-44,2018,282538.728407604,9055.8436597466,31.1996031538723,143158.433432655,9396.31574027528,15.235592054345
Uganda,Female,25-44,2019,301482.962159025,9581.57009362365,31.4648809342486,147263.035570629,9727.90910640812,15.1382001990152
Uganda,Female,45-64,2000,21343.1683113544,154.064470949357,138.534005795341,20203.4369450576,139.604348658214,144.719252224159
Uganda,Female,45-64,2001,23393.860205864,158.443176669801,147.648265438513,20683.807893595,140.507004246451,147.208375870824
Uganda,Female,45-64,2002,25610.5335628121,164.637468827752,155.557138634138,21279.5237932592,144.920363440417,146.835981418223
Uganda,Female,45-64,2003,28009.7492795501,171.114169466357,163.690414224037,21982.8810612276,151.690000975906,144.919776648425
Uganda,Female,45-64,2004,30609.9546121967,177.340773866357,172.605283854598,22771.6810290478,159.930665963936,142.384707096654
Uganda,Female,45-64,2005,33433.3762726079,182.755516823591,182.940448823114,23715.3814289163,168.629207383148,140.636262228475
Uganda,Female,45-64,2006,36534.6495230007,186.740332410366,195.644128140005,24588.7358929096,176.347308018931,139.433576668321
Uganda,Female,45-64,2007,39923.3935616379,189.698938449794,210.456599746361,25507.3505186364,182.468228049238,139.790640767079
Uganda,Female,45-64,2008,43600.3769089393,192.468967906602,226.531982704333,26481.7825299544,187.860584849366,140.965080840073
Uganda,Female,45-64,2009,47600.534968812,195.914461665128,242.965907489639,27508.0195770056,193.211274824563,142.372745079101
Uganda,Female,45-64,2010,51946.9021129228,201.079659006662,258.339915481962,28611.8313140277,199.157585285327,143.664281091962
Uganda,Female,45-64,2011,56436.3010909001,208.190089827363,271.080631828819,29673.8313669387,206.161756220227,143.934704044917
Uganda,Female,45-64,2012,61315.6837135132,216.305720508292,283.467693639487,30770.684216612,214.066684640766,143.743452038086
Uganda,Female,45-64,2013,66583.7277167145,225.015355463727,295.907484089227,31932.7996330484,222.504300980953,143.515426408688
Uganda,Female,45-64,2014,72272.6277035121,234.446836627639,308.268726262659,33158.5206721656,231.505060496621,143.230219680877
